Example, Safe, Plcs, Trns, PropSize, R sfty, T sfty, R sfty-int, T sfty-int, R ref, I ref, T ref, R ref-int, I ref-int, T ref-int, R inv, L inv, T inv, R inv-min, MI inv-min, L inv-min, T inv-min, R inv-ref, I inv-ref, L inv-ref, T inv-ref, R inv-ref-min, I inv-ref-min, MI inv-ref-min, L inv-ref-min, T inv-ref-min, R iic, L iic, T iic, R bfc, T bfc, R mist, T mist
MultiME, +, 12, 11, 3, -, 0.15, -, 0.15, +, 1, 0.42, +, 1, 0.41, -, 0, 0.14, -, 0, 0, 0.14, +, 1, 10, 1.38, +, 1, 0, 10, 1.59, +, 10, 0.00, +, 0.00, +, 0.00
basicME, +, 5, 4, 3, -, 0.14, -, 0.14, +, 1, 0.42, +, 1, 0.43, -, 0, 0.14, -, 0, 0, 0.14, +, 1, 10, 1.41, +, 1, 0, 10, 1.55, +, 10, 0.00, +, 0.00, +, 0.00
bingham_h150, +, 153, 301, 1, +, 0.32, +, 0.35, +, 0, 0.34, +, 0, 0.33, +, 151, 0.68, +, 0, 151, 0.85, +, 0, 151, 1.02, +, 0, 0, 151, 1.22, +, 22801, 1745.26, +, 5.06, ERR, 
bingham_h25, +, 28, 51, 1, +, 0.18, +, 0.18, +, 0, 0.18, +, 0, 0.17, +, 26, 0.40, +, 0, 26, 0.48, +, 0, 26, 0.56, +, 0, 0, 26, 0.69, +, 676, 0.28, +, 0.01, +, 28.00
bingham_h250, +, 253, 501, 1, +, 0.50, +, 0.47, +, 0, 0.47, +, 0, 0.47, +, 251, 0.93, +, 0, 251, 1.19, +, 0, 251, 1.35, +, 0, 0, 251, 1.63, +, 63001, 43226.96, +, 69.08, ERR, 
bingham_h250_attic, +, 253, 501, 8989, +, 11.94, +, 20.83, +, 0, 11.90, +, 0, 20.57, +, 251, 10319.47, +, 0, 251, 12686.74, +, 0, 251, 10351.55, +, 0, 0, 251, 12695.65, +, 63001, 45829.04, +, 74.60, +, 12.43
bingham_h50, +, 53, 101, 1, +, 0.21, +, 0.19, +, 0, 0.21, +, 0, 0.21, +, 51, 0.47, +, 0, 51, 0.57, +, 0, 51, 0.64, +, 0, 0, 51, 0.75, +, 2601, 3.93, +, 0.12, +, 1558.83
csm, +, 14, 13, 1, +, 0.15, +, 0.15, +, 0, 0.15, +, 0, 0.15, +, 4, 0.38, +, 0, 4, 0.42, +, 0, 4, 0.52, +, 0, 0, 4, 0.62, +, 52, 0.00, +, 0.00, +, 0.01
extendedread-write, +, 24, 22, 1, -, 0.16, -, 0.16, -, 0, 0.23, -, 0, 0.24, -, 0, 0.15, -, 0, 0, 0.17, -, 0, 0, 0.24, -, 0, 0, 0, 0.25, +, 332, 0.26, MO, 100000, TO, 100000
extendedread-write-smallconsts, +, 24, 22, 1, -, 0.17, -, 0.15, -, 0, 0.22, -, 0, 0.25, -, 0, 0.17, -, 0, 0, 0.15, -, 0, 0, 0.24, -, 0, 0, 0, 0.25, +, 52, 0.00, MO, 100000, +, 19.64
fms, +, 22, 20, 1, +, 0.14, +, 0.16, +, 0, 0.15, +, 0, 0.15, +, 2, 0.37, +, 0, 2, 0.44, +, 0, 2, 0.54, +, 0, 0, 2, 0.57, +, 4, 0.00, +, 0.01, +, 0.00
fms_attic, +, 22, 20, 2, +, 0.15, +, 0.15, +, 0, 0.15, +, 0, 0.16, +, 4, 0.69, +, 0, 4, 0.83, +, 0, 4, 0.82, +, 0, 0, 4, 0.99, +, 12, 0.00, +, 4.58, +, 0.10
kanban, -, 16, 16, 1, -, 0.15, -, 0.16, -, 0, 0.23, -, 0, 0.23, -, 0, 0.16, -, 0, 0, 0.17, -, 0, 0, 0.23, -, 0, 0, 0, 0.23, -, , 0.00, -, 0.68, TO, 100000
leabasicapproach, -, 16, 12, 1, -, 0.15, -, 0.15, -, 0, 0.24, -, 0, 0.24, -, 0, 0.15, -, 0, 0, 0.16, -, 0, 0, 0.22, -, 0, 0, 0, 0.21, -, , 0.00, -, 0.00, -, 0.05
manufacturing, +, 13, 6, 1, -, 0.13, -, 0.15, -, 0, 0.21, -, 0, 0.22, -, 0, 0.13, -, 0, 0, 0.14, -, 0, 0, 0.21, -, 0, 0, 0, 0.23, +, 6, 0.00, +, 0.00, +, 0.00
mesh2x2, +, 32, 32, 1, +, 0.17, +, 0.16, +, 0, 0.17, +, 0, 0.17, +, 4, 0.38, +, 0, 4, 0.46, +, 0, 4, 0.56, +, 0, 0, 4, 0.64, +, 16, 0.00, +, 0.69, +, 0.06
mesh3x2, +, 52, 54, 1, +, 0.18, +, 0.18, +, 0, 0.19, +, 0, 0.18, +, 4, 0.41, +, 0, 4, 0.53, +, 0, 4, 0.58, +, 0, 0, 4, 0.68, +, 16, 0.00, +, 32.50, +, 0.07
multipool, +, 18, 21, 1, +, 0.16, +, 0.15, +, 0, 0.16, +, 0, 0.12, +, 10, 0.38, +, 0, 10, 0.44, +, 0, 10, 0.54, +, 0, 0, 10, 0.61, +, 2200, 0.43, +, 5.56, TO, 100000
pingpong, +, 6, 6, 1, -, 0.15, -, 0.14, +, 1, 0.44, +, 1, 0.41, -, 0, 0.15, -, 0, 0, 0.14, +, 1, 10, 0.76, +, 1, 0, 10, 0.83, +, 25, 0.00, +, 0.00, +, 0.00
pingpong2, -, 6, 6, 1, -, 0.15, -, 0.14, -, 0, 0.22, -, 0, 0.22, -, 0, 0.16, -, 0, 0, 0.16, -, 0, 0, 0.22, -, 0, 0, 0, 0.23, -, , 0.00, -, 0.00, -, 0.00
pingpong_wrong, -, 6, 6, 1, -, 0.14, -, 0.14, -, 0, 0.20, -, 0, 0.22, -, 0, 0.13, -, 0, 0, 0.16, -, 0, 0, 0.20, -, 0, 0, 0, 0.19, -, , 0.00, -, 0.00, -, 0.00
pncsacover, -, 31, 36, 1, -, 0.15, -, 0.17, -, 0, 0.26, -, 0, 0.25, -, 0, 0.18, -, 0, 0, 0.16, -, 0, 0, 0.25, -, 0, 0, 0, 0.25, -, , 0.71, -, 2.75, -, 69189.16
pncsasemiliv, -, 31, 36, 1, -, 0.16, -, 0.15, -, 0, 0.26, -, 0, 0.26, -, 0, 0.17, -, 0, 0, 0.18, -, 0, 0, 0.26, -, 0, 0, 0, 0.26, -, , 0.33, -, 0.00, -, 1.32
kanban, +, 16, 16, 1, +, 0.15, +, 0.15, +, 0, 0.15, +, 0, 0.16, +, 4, 0.37, +, 0, 4, 0.45, +, 0, 4, 0.52, +, 0, 0, 4, 0.56, +, 240, 0.01, +, 0.00, +, 0.09
lamport, +, 11, 9, 1, -, 0.14, -, 0.14, +, 1, 0.44, +, 1, 0.44, -, 0, 0.14, -, 0, 0, 0.14, +, 1, 12, 0.79, +, 1, 0, 12, 0.87, +, 78, 0.00, +, 0.00, +, 0.00
newdekker, +, 16, 14, 1, -, 0.15, -, 0.15, +, 1, 0.42, +, 1, 0.43, -, 0, 0.16, -, 0, 0, 0.14, +, 1, 14, 0.81, +, 1, 0, 14, 0.88, +, 106, 0.00, +, 0.00, +, 0.09
newrtp, +, 9, 12, 1, +, 0.15, +, 0.15, +, 0, 0.14, +, 0, 0.14, +, 9, 0.36, +, 0, 9, 0.44, +, 0, 9, 0.50, +, 0, 0, 9, 0.60, +, 81, 0.00, +, 0.00, +, 0.00
peterson, +, 14, 12, 1, -, 0.15, -, 0.16, +, 2, 0.72, +, 2, 0.70, -, 0, 0.15, -, 0, 0, 0.16, +, 2, 18, 1.09, +, 2, 0, 18, 1.16, +, 191, 0.00, +, 0.00, +, 0.04
read-write, +, 13, 9, 1, +, 0.14, +, 0.15, +, 0, 0.17, +, 0, 0.15, +, 4, 0.35, +, 0, 4, 0.42, +, 0, 4, 0.52, +, 0, 0, 4, 0.59, +, 181, 0.00, +, 0.00, +, 0.52
x0_AA_q1, +, 312, 5431, 1, +, 3.87, +, 3.87, +, 0, 4.20, +, 0, 4.03, +, 2, 6.18, +, 0, 2, 7.76, +, 0, 2, 10.34, +, 0, 0, 2, 11.86, +, 2, 0.48, +, 1535.10, +, 8.45
x0_AA_q2, +, 312, 5431, 1, -, 4.29, -, 4.50, -, 0, 6.55, -, 0, 6.95, -, 0, 3.93, -, 0, 0, 3.98, -, 0, 0, 5.96, -, 0, 0, 0, 6.30, TO, , 100000, +, 1502.14, +, 1460.89
x0_AA_q5, +, 312, 5431, 1, -, 4.24, -, 5.11, -, 0, 6.29, -, 0, 7.07, -, 0, 4.02, -, 0, 0, 3.58, -, 0, 0, 6.33, -, 0, 0, 0, 6.44, TO, , 100000, +, 1497.58, TO, 100000
x0_AR_q1, +, 312, 5431, 1, +, 3.88, +, 3.77, +, 0, 3.77, +, 0, 3.81, +, 2, 6.08, +, 0, 2, 8.24, +, 0, 2, 9.58, +, 0, 0, 2, 11.83, +, 2, 0.42, +, 1581.93, +, 8.30
x0_AR_q2, +, 312, 5431, 1, -, 4.00, -, 5.05, -, 0, 6.19, -, 0, 7.04, -, 0, 4.09, -, 0, 0, 4.03, -, 0, 0, 6.19, -, 0, 0, 0, 6.26, +, 3, 3.75, +, 1781.72, +, 22.77
x0_AR_q5, +, 312, 5431, 1, -, 4.04, -, 4.94, -, 0, 6.22, -, 0, 6.82, -, 0, 3.80, -, 0, 0, 3.74, -, 0, 0, 6.17, -, 0, 0, 0, 5.96, +, 592, 88.62, +, 1642.43, +, 25.69
x0_HA_q1, +, 312, 5431, 1, +, 4.07, +, 3.72, +, 0, 4.12, +, 0, 3.88, +, 2, 5.92, +, 0, 2, 7.38, +, 0, 2, 10.41, +, 0, 0, 2, 12.21, +, 2, 0.44, +, 1644.84, +, 8.30
x0_HA_q2, +, 312, 5431, 1, -, 4.31, -, 5.28, -, 0, 6.11, -, 0, 7.36, -, 0, 3.78, -, 0, 0, 3.87, -, 0, 0, 6.17, -, 0, 0, 0, 6.45, +, 3, 3.71, +, 1590.45, +, 21.40
x0_HA_q5, +, 312, 5431, 1, -, 4.38, -, 5.60, -, 0, 6.04, -, 0, 6.89, -, 0, 4.05, -, 0, 0, 3.84, -, 0, 0, 6.12, -, 0, 0, 0, 6.15, TO, , 100000, +, 1805.48, TO, 100000
x0_HQ_q1, +, 312, 5431, 1, +, 4.04, +, 3.88, +, 0, 3.62, +, 0, 3.91, +, 2, 5.59, +, 0, 2, 8.06, +, 0, 2, 9.67, +, 0, 0, 2, 11.91, +, 2, 0.43, +, 1462.39, +, 8.30
x0_HQ_q2, +, 312, 5431, 1, -, 4.22, -, 5.36, -, 0, 6.58, -, 0, 7.47, -, 0, 3.76, -, 0, 0, 3.74, -, 0, 0, 6.22, -, 0, 0, 0, 6.45, +, 3, 3.73, +, 1517.34, +, 21.54
x0_HQ_q5, +, 312, 5431, 1, -, 3.87, -, 5.15, -, 0, 6.05, -, 0, 6.99, -, 0, 3.80, -, 0, 0, 4.14, -, 0, 0, 6.14, -, 0, 0, 0, 6.21, +, 592, 88.17, +, 1587.21, +, 27.10
x0_BUG_REPORT_q1, +, 754, 27370, 1, +, 21.35, +, 21.39, +, 0, 21.41, +, 0, 20.77, +, 16, 29.11, +, 0, 16, 43.03, +, 0, 16, 51.00, +, 0, 0, 16, 63.88, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q3, +, 754, 27370, 1, +, 21.43, +, 21.15, +, 0, 21.88, +, 0, 21.06, +, 16, 29.02, +, 0, 16, 44.32, +, 0, 16, 50.44, +, 0, 0, 16, 65.39, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q5, +, 754, 27370, 1, +, 21.21, +, 21.17, +, 0, 21.56, +, 0, 21.26, +, 16, 28.83, +, 0, 16, 41.61, +, 0, 16, 49.95, +, 0, 0, 16, 63.75, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q6, +, 754, 27370, 1, +, 21.28, +, 21.16, +, 0, 21.95, +, 0, 20.97, +, 16, 27.95, +, 0, 16, 43.72, +, 0, 16, 50.02, +, 0, 0, 16, 64.74, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q8, +, 754, 27370, 1, -, 21.88, -, 46.36, -, 0, 29.77, -, 0, 54.79, -, 0, 21.62, -, 0, 0, 21.58, -, 0, 0, 29.48, -, 0, 0, 0, 29.75, MO, , 100000, , , MO, 100000
x0_CLOSED_q1, +, 754, 27370, 1, +, 21.16, +, 21.28, +, 0, 21.53, +, 0, 20.98, +, 2, 28.63, +, 0, 2, 42.42, +, 0, 2, 49.98, +, 0, 0, 2, 64.81, MO, , 100000, , , MO, 100000
x0_CLOSED_q3, +, 754, 27370, 1, +, 21.19, +, 20.86, +, 0, 21.60, +, 0, 21.18, +, 2, 28.72, +, 0, 2, 44.17, +, 0, 2, 50.48, +, 0, 0, 2, 66.06, MO, , 100000, , , MO, 100000
x0_CLOSED_q5, +, 754, 27370, 1, +, 21.48, +, 21.24, +, 0, 21.34, +, 0, 21.26, +, 2, 29.04, +, 0, 2, 43.71, +, 0, 2, 49.97, +, 0, 0, 2, 64.69, MO, , 100000, , , MO, 100000
x0_CLOSED_q6, +, 754, 27370, 1, +, 21.86, +, 21.29, +, 0, 21.53, +, 0, 21.64, +, 2, 29.35, +, 0, 2, 44.42, +, 0, 2, 49.77, +, 0, 0, 2, 67.07, MO, , 100000, , , MO, 100000
x0_CLOSED_q8, +, 754, 27370, 1, -, 22.10, -, 47.59, -, 2, 65.92, -, 0, 53.39, -, 0, 21.41, -, 0, 0, 21.49, -, 2, 0, 66.50, -, 2, 0, 0, 66.05, MO, , 100000, , , MO, 100000
x0_FIXED_q1, +, 754, 27370, 1, +, 21.89, +, 20.86, +, 0, 21.41, +, 0, 20.98, +, 2, 28.48, +, 0, 2, 40.23, +, 0, 2, 50.35, +, 0, 0, 2, 62.74, MO, , 100000, , , MO, 100000
x0_FIXED_q3, +, 754, 27370, 1, +, 21.18, +, 21.15, +, 0, 21.86, +, 0, 20.95, +, 2, 28.95, +, 0, 2, 43.50, +, 0, 2, 50.33, +, 0, 0, 2, 64.79, MO, , 100000, , , MO, 100000
x0_FIXED_q5, +, 754, 27370, 1, +, 21.57, +, 20.97, +, 0, 21.44, +, 0, 21.22, +, 2, 28.65, +, 0, 2, 44.71, +, 0, 2, 50.58, +, 0, 0, 2, 65.98, MO, , 100000, , , MO, 100000
x0_FIXED_q6, +, 754, 27370, 1, +, 21.62, +, 21.37, +, 0, 21.75, +, 0, 21.08, +, 2, 28.69, +, 0, 2, 41.35, +, 0, 2, 50.44, +, 0, 0, 2, 62.95, MO, , 100000, , , MO, 100000
x0_FIXED_q8, +, 754, 27370, 1, -, 22.07, -, 46.31, -, 0, 29.83, -, 0, 53.88, -, 0, 21.42, -, 0, 0, 21.74, -, 0, 0, 29.36, -, 0, 0, 0, 29.39, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q1, +, 754, 27370, 1, +, 21.52, +, 21.31, +, 0, 21.29, +, 0, 20.56, +, 2, 28.87, +, 0, 2, 43.22, +, 0, 2, 50.38, +, 0, 0, 2, 65.53, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q3, +, 754, 27370, 1, +, 21.49, +, 21.30, +, 0, 21.62, +, 0, 21.12, +, 2, 29.08, +, 0, 2, 40.98, +, 0, 2, 50.36, +, 0, 0, 2, 62.02, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q5, +, 754, 27370, 1, +, 21.15, +, 22.10, +, 0, 21.59, +, 0, 20.41, +, 2, 29.59, +, 0, 2, 39.11, +, 0, 2, 50.52, +, 0, 0, 2, 59.91, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q6, +, 754, 27370, 1, +, 21.08, +, 21.08, +, 0, 21.59, +, 0, 20.94, +, 2, 29.48, +, 0, 2, 39.42, +, 0, 2, 49.93, +, 0, 0, 2, 61.65, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q8, +, 754, 27370, 1, -, 22.69, -, 45.80, -, 0, 29.24, -, 0, 53.75, -, 0, 21.51, -, 0, 0, 21.38, -, 0, 0, 29.45, -, 0, 0, 0, 29.53, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q1, +, 754, 27370, 1, +, 21.32, +, 21.16, +, 0, 22.12, +, 0, 21.19, +, 2, 28.86, +, 0, 2, 42.14, +, 0, 2, 49.82, +, 0, 0, 2, 64.02, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q3, +, 754, 27370, 1, +, 21.36, +, 20.84, +, 0, 21.38, +, 0, 20.60, +, 2, 29.03, +, 0, 2, 41.00, +, 0, 2, 51.27, +, 0, 0, 2, 62.54, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q5, +, 754, 27370, 1, +, 21.00, +, 21.02, +, 0, 21.66, +, 0, 21.03, +, 2, 29.08, +, 0, 2, 40.09, +, 0, 2, 50.03, +, 0, 0, 2, 61.67, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q6, +, 754, 27370, 1, +, 21.74, +, 21.36, +, 0, 21.48, +, 0, 21.26, +, 2, 28.72, +, 0, 2, 40.36, +, 0, 2, 50.23, +, 0, 0, 2, 61.31, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q8, +, 754, 27370, 1, -, 21.74, -, 46.84, -, 0, 28.37, -, 0, 53.56, -, 0, 22.08, -, 0, 0, 21.79, -, 0, 0, 28.94, -, 0, 0, 0, 29.67, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q1, +, 754, 27370, 1, +, 21.25, +, 21.16, +, 0, 21.55, +, 0, 20.53, +, 2, 28.60, +, 0, 2, 43.06, +, 0, 2, 50.34, +, 0, 0, 2, 64.89, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q3, +, 754, 27370, 1, +, 21.21, +, 21.04, +, 0, 21.27, +, 0, 20.77, +, 2, 28.67, +, 0, 2, 41.82, +, 0, 2, 50.28, +, 0, 0, 2, 63.42, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q5, +, 754, 27370, 1, +, 21.15, +, 21.08, +, 0, 21.66, +, 0, 20.72, +, 2, 28.86, +, 0, 2, 46.08, +, 0, 2, 50.08, +, 0, 0, 2, 67.01, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q6, +, 754, 27370, 1, +, 21.20, +, 20.99, +, 0, 21.14, +, 0, 21.28, +, 2, 28.97, +, 0, 2, 45.36, +, 0, 2, 50.00, +, 0, 0, 2, 67.08, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q8, +, 754, 27370, 1, -, 21.93, -, 46.46, -, 0, 29.12, -, 1, 99.93, -, 0, 21.81, -, 0, 0, 21.74, -, 0, 0, 29.26, -, 0, 0, 0, 29.58, MO, , 100000, , , MO, 100000
x0_PENDING_q1, +, 754, 27370, 1, +, 21.59, +, 21.12, +, 0, 21.65, +, 0, 20.98, +, 2, 28.91, +, 0, 2, 41.95, +, 0, 2, 50.87, +, 0, 0, 2, 63.76, MO, , 100000, , , MO, 100000
x0_PENDING_q3, +, 754, 27370, 1, +, 21.59, +, 21.13, +, 0, 21.94, +, 0, 20.92, +, 2, 28.98, +, 0, 2, 43.56, +, 0, 2, 50.59, +, 0, 0, 2, 65.24, MO, , 100000, , , MO, 100000
x0_PENDING_q3_buggy, -, 754, 27370, 1, -, 22.72, -, 45.33, -, 0, 29.99, -, 0, 52.25, -, 0, 21.35, -, 0, 0, 21.57, -, 0, 0, 29.38, -, 0, 0, 0, 29.33, MO, , 100000, , , MO, 100000
x0_PENDING_q5, +, 754, 27370, 1, +, 21.56, +, 21.00, +, 0, 21.54, +, 0, 21.13, +, 2, 28.64, +, 0, 2, 46.14, +, 0, 2, 50.27, +, 0, 0, 2, 67.39, MO, , 100000, , , MO, 100000
x0_PENDING_q6, +, 754, 27370, 1, +, 21.55, +, 21.17, +, 0, 21.71, +, 0, 21.28, +, 2, 28.66, +, 0, 2, 47.30, +, 0, 2, 50.20, +, 0, 0, 2, 68.82, MO, , 100000, , , MO, 100000
x0_PENDING_q8, +, 754, 27370, 1, -, 22.11, -, 47.35, -, 0, 29.45, -, 1, 96.09, -, 0, 21.36, -, 0, 0, 21.73, -, 0, 0, 29.13, -, 0, 0, 0, 29.72, MO, , 100000, , , MO, 100000
x0_VERIFIED_q1, +, 754, 27370, 1, +, 21.44, +, 21.03, +, 0, 21.24, +, 0, 21.33, +, 2, 29.47, +, 0, 2, 42.13, +, 0, 2, 50.67, +, 0, 0, 2, 61.87, MO, , 100000, , , MO, 100000
x0_VERIFIED_q3, +, 754, 27370, 1, +, 21.55, +, 21.20, +, 0, 21.65, +, 0, 20.91, +, 2, 28.87, +, 0, 2, 43.92, +, 0, 2, 49.41, +, 0, 0, 2, 64.93, MO, , 100000, , , MO, 100000
x0_VERIFIED_q5, +, 754, 27370, 1, +, 21.11, +, 21.10, +, 0, 21.24, +, 0, 21.22, +, 2, 29.69, +, 0, 2, 46.11, +, 0, 2, 49.14, +, 0, 0, 2, 66.95, MO, , 100000, , , MO, 100000
x0_VERIFIED_q6, +, 754, 27370, 1, +, 21.30, +, 21.20, +, 0, 21.14, +, 0, 20.98, +, 2, 28.96, +, 0, 2, 43.41, +, 0, 2, 50.04, +, 0, 0, 2, 64.68, MO, , 100000, , , MO, 100000
x0_VERIFIED_q8, +, 754, 27370, 1, -, 22.51, -, 47.74, -, 0, 29.43, -, 1, 95.02, -, 0, 21.97, -, 0, 0, 21.73, -, 0, 0, 29.27, -, 0, 0, 0, 29.80, MO, , 100000, , , MO, 100000
concdb__single_client_writes__depth_0, +, 553, 150, 1, +, 0.35, +, 0.33, +, 0, 0.34, +, 0, 0.33, +, 33, 0.65, +, 0, 33, 1.38, +, 0, 33, 1.01, +, 0, 0, 33, 1.82, TO, , 100000, +, 77.49, TO, 100000
concdb__single_client_writes__depth_1, +, 1440, 672, 1, +, 0.89, +, 0.86, +, 0, 0.90, +, 0, 0.88, +, 157, 1.52, +, 0, 157, 4.59, +, 0, 157, 2.45, +, 0, 0, 157, 5.51, TO, , 100000, MO, 100000, MO, 100000
concdb__single_client_writes__depth_2, +, 4763, 2478, 1, +, 3.62, +, 2.66, +, 0, 3.86, +, 0, 3.16, +, 814, 4.62, +, 0, 814, 39.11, +, 0, 814, 8.74, +, 0, 0, 814, 42.33, MO, , 100000, MO, 100000, ERR, 
finite_leader__single_leader__depth_0, -, 294, 80, 1, -, 0.28, -, 0.26, -, 1, 0.82, -, 1, 0.79, -, 0, 0.23, -, 0, 0, 0.25, -, 1, 0, 0.81, -, 1, 0, 0, 0.81, -, , 17.37, -, 0.01, TO, 100000
finite_leader__single_leader__depth_1, +, 447, 122, 1, +, 0.30, +, 0.29, +, 0, 0.30, +, 0, 0.30, +, 37, 0.60, +, 0, 37, 1.59, +, 0, 37, 0.93, +, 0, 0, 37, 1.90, TO, , 100000, +, 0.73, TO, 100000
finite_leader__single_leader__depth_2, +, 447, 122, 1, +, 0.29, +, 0.31, +, 0, 0.31, +, 0, 0.31, +, 37, 0.59, +, 0, 37, 1.66, +, 0, 37, 0.90, +, 0, 0, 37, 1.82, TO, , 100000, +, 0.74, TO, 100000
firewall__no_pred_called_with_zero__depth_0, -, 352, 56, 1, -, 0.24, -, 0.26, -, 1, 0.79, -, 1, 0.78, -, 0, 0.23, -, 0, 0, 0.23, -, 1, 0, 0.82, -, 1, 0, 0, 0.76, -, , 0.51, -, 0.00, TO, 100000
firewall__no_pred_called_with_zero__depth_1, +, 780, 165, 1, +, 0.37, +, 0.38, +, 0, 0.39, +, 0, 0.37, +, 1, 0.74, +, 0, 1, 1.99, +, 0, 1, 1.14, +, 0, 0, 1, 2.55, +, 1, 0.03, +, 3.30, +, 0.28
firewall__no_pred_called_with_zero__depth_2, +, 4014, 1417, 1, +, 2.00, +, 1.94, +, 0, 1.99, +, 0, 1.96, +, 1, 3.31, +, 0, 1, 30.24, +, 0, 1, 5.11, +, 0, 0, 1, 31.93, +, 1, 1.57, MO, 100000, MO, 100000
